Filiere,Niveau,Genre,Moyenne,Assiduite_pct,Statut
Droit,Master 2,Masculin,3.3,43.5,Ajourné
Chimie,Master 2,Masculin,10.62,71.3,Admis
Biologie,Licence 1,Masculin,16.21,64.9,Admis
Droit,Licence 3,Masculin,12.86,43.9,Admis
Physique,Licence 2,Masculin,15.41,82.3,Admis
Lettres,Licence 1,Masculin,10.97,81.1,Admis
Biologie,Licence 2,Masculin,9.1,95.1,Ajourné
Biologie,Licence 2,Masculin,14.36,61.2,Admis
Droit,Licence 3,Féminin,12.6,54.0,Admis
Mathématiques,Licence 2,Féminin,12.56,71.9,Admis
Physique,Licence 2,Féminin,14.43,76.7,Admis
Droit,Licence 3,Féminin,13.05,91.8,Admis
Physique,Licence 2,Masculin,13.11,99.2,Admis
Physique,Licence 2,Masculin,13.89,96.2,Admis
Lettres,Licence 2,Masculin,15.06,82.1,Admis
Biologie,Licence 1,Féminin,15.34,90.0,Admis
Chimie,Licence 1,Féminin,15.32,68.4,Admis
Lettres,Licence 1,Masculin,17.63,80.5,Admis
Lettres,Licence 3,Masculin,12.18,60.1,Admis
Physique,Master 2,Masculin,13.3,78.9,Admis
Économie,Licence 2,Masculin,12.57,79.3,Admis
Biologie,Licence 2,Féminin,11.12,100.0,Admis
Mathématiques,Licence 3,Féminin,10.08,74.6,Admis
Lettres,Licence 2,Masculin,15.04,79.4,Admis
Chimie,Licence 1,Féminin,13.85,81.6,Admis
Économie,Master 2,Féminin,14.5,71.2,Admis
Économie,Master 1,Masculin,12.94,66.0,Admis
Mathématiques,Licence 2,Masculin,11.81,97.5,Admis
Lettres,Licence 1,Masculin,15.84,63.3,Admis
Chimie,Master 1,Masculin,9.08,58.1,Ajourné
Biologie,Master 2,Masculin,13.26,88.2,Admis
Informatique,Master 1,Masculin,12.72,95.4,Admis
Chimie,Licence 1,Masculin,14.68,71.2,Admis
Mathématiques,Master 1,Masculin,8.42,71.5,Ajourné
Économie,Licence 3,Féminin,17.24,82.2,Admis
Biologie,Master 1,Masculin,13.73,67.4,Admis
Chimie,Licence 2,Masculin,13.47,66.3,Admis
Informatique,Licence 2,Masculin,11.5,91.2,Admis
Informatique,Licence 3,Féminin,13.85,87.1,Admis
Physique,Licence 1,Masculin,12.22,97.7,Admis
Physique,Licence 2,Masculin,15.12,59.2,Admis
Droit,Master 2,Féminin,8.4,70.5,Ajourné
Mathématiques,Licence 2,Féminin,12.24,82.2,Admis
Lettres,Licence 2,Féminin,14.82,64.1,Admis
Chimie,Licence 1,Masculin,12.33,87.6,Admis
Chimie,Master 1,Masculin,11.79,96.4,Admis
Lettres,Licence 2,Féminin,12.89,69.2,Admis
Droit,Licence 3,Féminin,12.44,78.6,Admis
Économie,Master 1,Féminin,8.98,99.8,Ajourné
Économie,Master 2,Féminin,15.91,100.0,Admis
Droit,Licence 1,Masculin,10.8,89.2,Admis
Économie,Master 2,Féminin,13.82,86.9,Admis
Physique,Master 1,Masculin,13.02,65.2,Admis
